,Five_grams,Frequency
13866,"('N_NN', 'RB', 'QT_QTF', 'N_NN', 'RB')",1
13867,"('RB', 'QT_QTF', 'N_NN', 'RB', 'V_VM_VNG')",1
13868,"('QT_QTF', 'N_NN', 'RB', 'V_VM_VNG', 'V_VM_VNF')",1
13869,"('V_VM_VNF', 'DM_DMR', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",1
13870,"('PSP', 'V_VM_VNF', 'N_NN', 'N_NST', 'N_NN')",1
13871,"('N_NN', 'DM_DMD', 'N_NN', 'N_NN', 'RP_NEG')",1
13872,"('DM_DMD', 'N_NN', 'N_NN', 'RP_NEG', 'RP_NEG')",1
13873,"('N_NN', 'N_NN', 'RP_NEG', 'RP_NEG', 'N_NN')",1
13874,"('N_NN', 'RP_NEG', 'RP_NEG', 'N_NN', 'RP_NEG')",1
13875,"('RP_NEG', 'RP_NEG', 'N_NN', 'RP_NEG', 'V_VM_VNF')",1
13876,"('RP_NEG', 'N_NN', 'RP_NEG', 'V_VM_VNF', 'RD_PUNC')",1
13877,"('N_NN', 'N_NN', 'RD_PUNC', 'CC_CCD', 'RB')",1
13878,"('N_NN', 'RD_PUNC', 'CC_CCD', 'RB', 'RP_NEG')",1
13879,"('RD_PUNC', 'CC_CCD', 'RB', 'RP_NEG', 'RD_PUNC')",1
13880,"('CC_CCD', 'RB', 'RP_NEG', 'RD_PUNC', 'RB')",1
13881,"('RD_PUNC', 'RB', 'RP_NEG', 'V_VM_VNF', 'RD_PUNC')",1
13882,"('N_NN', 'RD_SYM', 'DM_DMD', 'N_NN', 'V_VM_VNF')",1
13883,"('RD_SYM', 'DM_DMD', 'N_NN', 'V_VM_VNF', 'N_NN')",1
13884,"('N_NN', 'N_NN', 'RP_NEG', 'V_VM_VNF', 'N_NN')",1
13885,"('N_NN', 'RP_NEG', 'V_VM_VNF', 'N_NN', 'V_VM_VNF')",1
13886,"('RP_NEG', 'V_VM_VNF', 'N_NN', 'V_VM_VNF', 'V_VAUX')",1
13887,"('V_VM_VNF', 'N_NN', 'RD_SYM', 'QT_QTC', 'RD_PUNC')",1
13888,"('N_NN', 'N_NN', 'QT_QTC', 'N_NN', 'RP_NEG')",1
13889,"('N_NN', 'QT_QTC', 'N_NN', 'RP_NEG', 'PR_PRP')",1
13890,"('QT_QTC', 'N_NN', 'RP_NEG', 'PR_PRP', 'JJ')",1
13891,"('N_NN', 'RP_NEG', 'PR_PRP', 'JJ', 'N_NN')",1
13892,"('RP_NEG', 'PR_PRP', 'JJ', 'N_NN', 'RP_NEG')",1
13893,"('PR_PRP', 'JJ', 'N_NN', 'RP_NEG', 'RP_RPD')",1
13894,"('JJ', 'N_NN', 'RP_NEG', 'RP_RPD', 'N_NN')",1
13895,"('N_NN', 'RP_NEG', 'RP_RPD', 'N_NN', 'N_NN')",1
13896,"('RP_NEG', 'RP_RPD', 'N_NN', 'N_NN', 'CC_CCD')",1
13897,"('RP_RPD', 'N_NN', 'N_NN', 'CC_CCD', 'N_NN')",1
13898,"('CC_CCD', 'QT_QTC', 'RD_PUNC', 'N_NN', 'N_NN')",1
13899,"('N_NN', 'PSP', 'QT_QTC', 'N_NN', 'JJ')",1
13900,"('PSP', 'QT_QTC', 'N_NN', 'JJ', 'N_NN')",1
13901,"('RD_SYM', 'N_NN', 'QT_QTC', 'PSP', 'V_VM_VNF')",1
13902,"('N_NN', 'QT_QTC', 'PSP', 'V_VM_VNF', 'RD_SYM')",1
13903,"('QT_QTC', 'PSP', 'V_VM_VNF', 'RD_SYM', 'N_NN')",1
13904,"('DM_DMQ', 'V_VM_VNF', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",1
13905,"('N_NN', 'QT_QTF', 'N_NN', 'RB', 'RD_PUNC')",1
13906,"('QT_QTF', 'N_NN', 'RB', 'RD_PUNC', 'QT_QTF')",1
13907,"('N_NN', 'RB', 'RD_PUNC', 'QT_QTF', 'N_NN')",1
13908,"('RB', 'RD_PUNC', 'QT_QTF', 'N_NN', 'RB')",1
13909,"('QT_QTF', 'N_NN', 'RB', 'V_VM_VNF', 'RD_PUNC')",1
13910,"('QT_QTC', 'RD_PUNC', 'QT_QTC', 'QT_QTC', 'N_NN')",1
13911,"('N_NN', 'N_NN', 'V_VM_VNF', 'N_NN', 'RP_NEG')",1
13912,"('N_NN', 'V_VM_VNF', 'N_NN', 'RP_NEG', 'PR_PRP')",1
13913,"('V_VM_VNF', 'N_NN', 'RP_NEG', 'PR_PRP', 'N_NN')",1
13914,"('N_NN', 'RP_NEG', 'PR_PRP', 'N_NN', 'N_NN')",1
13915,"('RP_NEG', 'PR_PRP', 'N_NN', 'N_NN', 'PR_PRP')",1
13916,"('CC_CCS', 'DM_DMD', 'N_NN', 'N_NN', 'N_NN')",1
13917,"('N_NN', 'N_NN', 'CC_CCD', 'PR_PRP', 'PSP')",1
13918,"('N_NN', 'CC_CCD', 'PR_PRP', 'PSP', 'N_NN')",1
13919,"('CC_CCD', 'PR_PRP', 'PSP', 'N_NN', 'V_VM_VNF')",1
13920,"('PSP', 'RB', 'V_VM_VNF', 'N_NN', 'RD_PUNC')",1
13921,"('V_VM_VNF', 'DM_DMD', 'N_NN', 'V_VM_VNF', 'PR_PRP')",1
13922,"('DM_DMD', 'N_NN', 'V_VM_VNF', 'PR_PRP', 'JJ')",1
13923,"('PR_PRP', 'JJ', 'N_NN', 'PSP', 'JJ')",1
13924,"('N_NN', 'N_NN', 'QT_QTC', 'PSP', 'V_VM_VNF')",1
13925,"('PSP', 'V_VM_VNF', 'N_NN', 'N_NN', 'QT_QTC')",1
13926,"('N_NN', 'JJ', 'N_NN', 'PSP', 'PSP')",1
13927,"('JJ', 'N_NN', 'PSP', 'PSP', 'N_NN')",1
13928,"('DM_DMR', 'N_NN', 'N_NST', 'N_NN', 'V_VM_VNF')",1
13929,"('RP_RPD', 'V_VM_VNF', 'N_NN', 'RD_PUNC', 'QT_QTC')",1
13930,"('QT_QTC', 'RD_PUNC', 'V_VM_VNF', 'RD_PUNC', 'DM_DMD')",1
13931,"('RD_PUNC', 'V_VM_VNF', 'RD_PUNC', 'DM_DMD', 'N_NNP')",1
13932,"('V_VM_VNF', 'RD_PUNC', 'DM_DMD', 'N_NNP', 'N_NN')",1
13933,"('RD_PUNC', 'DM_DMD', 'N_NNP', 'N_NN', 'N_NN')",1
13934,"('DM_DMD', 'N_NNP', 'N_NN', 'N_NN', 'N_NN')",1
13935,"('RD_SYM', 'N_NN', 'RD_SYM', 'PSP', 'N_NST')",1
13936,"('N_NN', 'RD_SYM', 'PSP', 'N_NST', 'V_VM_VNF')",1
13937,"('RD_SYM', 'PSP', 'N_NST', 'V_VM_VNF', 'N_NN')",1
13938,"('PSP', 'N_NST', 'V_VM_VNF', 'N_NN', 'RD_SYM')",1
13939,"('QT_QTC', 'N_NST', 'N_NN', 'N_NN', 'N_NN')",1
13940,"('V_VM_VNF', 'N_NN', 'PR_PRP', 'V_VM_VNF', 'PSP')",1
13941,"('N_NN', 'PR_PRP', 'V_VM_VNF', 'PSP', 'V_VM_VNF')",1
13942,"('PR_PRP', 'V_VM_VNF', 'PSP', 'V_VM_VNF', 'N_NN')",1
13943,"('V_VM_VNF', 'PSP', 'V_VM_VNF', 'N_NN', 'N_NN')",1
13944,"('RP_RPD', 'N_NN', 'RD_PUNC', 'N_NN', 'N_NN')",1
13945,"('CC_CCS', 'N_NN', 'PR_PRP', 'N_NN', 'N_NN')",1
13946,"('PR_PRP', 'N_NN', 'N_NN', 'V_VM_VNF', 'V_VM_VNG')",1
13947,"('QT_QTC', 'QT_QTC', 'N_NN', 'RD_PUNC', 'V_VM_VNF')",1
13948,"('QT_QTC', 'N_NN', 'RD_PUNC', 'V_VM_VNF', 'N_NN')",1
13949,"('N_NN', 'RD_PUNC', 'V_VM_VNF', 'N_NN', 'V_VM_VNG')",1
13950,"('RD_PUNC', 'V_VM_VNF', 'N_NN', 'V_VM_VNG', 'PSP')",1
13951,"('V_VM_VNF', 'N_NN', 'V_VM_VNG', 'PSP', 'V_VM_VNF')",1
13952,"('V_VM_VNG', 'PSP', 'V_VM_VNF', 'N_NN', 'RB')",1
13953,"('V_VM_VNF', 'V_VM_VNF', 'N_NN', 'V_VM_VNF', 'V_VM_VNG')",1
13954,"('V_VM_VNF', 'N_NN', 'V_VM_VNF', 'V_VM_VNG', 'PSP')",1
13955,"('V_VM_VNG', 'PSP', 'V_VM_VNF', 'N_NN', 'QT_QTF')",1
13956,"('QT_QTF', 'N_NN', 'N_NN', 'RD_PUNC', 'QT_QTF')",1
13957,"('V_VM_VNF', 'PR_PRP', 'N_NN', 'V_VM_VNF', 'DM_DMD')",1
13958,"('PR_PRP', 'N_NN', 'V_VM_VNF', 'DM_DMD', 'JJ')",1
13959,"('N_NN', 'V_VM_VNF', 'DM_DMD', 'JJ', 'N_NN')",1
13960,"('V_VM_VNF', 'DM_DMD', 'JJ', 'N_NN', 'PSP')",1
13961,"('DM_DMD', 'JJ', 'N_NN', 'PSP', 'V_VM_VNF')",1
13962,"('JJ', 'N_NN', 'PSP', 'V_VM_VNF', 'JJ')",1
13963,"('PSP', 'V_VM_VNF', 'JJ', 'N_NN', 'N_NN')",1
13964,"('PSP', 'N_NN', 'V_VM_VNF', 'V_VM_VNG', 'PSP')",1
13965,"('PSP', 'V_VM_VNF', 'N_NN', 'V_VM_VNF', 'RP_RPD')",1
13966,"('DM_DMQ', 'RP_RPD', 'RB', 'N_NN', 'V_VM_VNF')",1
13967,"('RP_RPD', 'RB', 'N_NN', 'V_VM_VNF', 'N_NN')",1
13968,"('N_NN', 'RB', 'N_NN', 'V_VM_VNG', 'PSP')",1
13969,"('RB', 'N_NN', 'V_VM_VNG', 'PSP', 'V_VM_VNF')",1
13970,"('PSP', 'N_NN', 'V_VM_VNF', 'DM_DMD', 'N_NN')",1
13971,"('CC_CCD', 'N_NN', 'V_VM_VNG', 'V_VM_VNF', 'RD_PUNC')",1
13972,"('N_NN', 'V_VM_VNF', 'RP_RPD', 'RB', 'V_VM_VNF')",1
13973,"('V_VM_VNF', 'RP_RPD', 'RB', 'V_VM_VNF', 'JJ')",1
13974,"('RP_RPD', 'RB', 'V_VM_VNF', 'JJ', 'N_NN')",1
13975,"('N_NST', 'N_NN', 'V_VM_VNG', 'N_NN', 'N_NN')",1
13976,"('V_VM_VNG', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",1
13977,"('DM_DMR', 'N_NN', 'RB', 'V_VM_VNF', 'RP_RPD')",1
13978,"('N_NN', 'RB', 'V_VM_VNF', 'RP_RPD', 'N_NN')",1
13979,"('RB', 'V_VM_VNF', 'RP_RPD', 'N_NN', 'N_NN')",1
13980,"('PR_PRP', 'N_NST', 'V_VM_VNF', 'N_NN', 'PSP')",1
13981,"('V_VM_VNF', 'N_NN', 'PSP', 'V_VM_VNF', 'V_VM_VNF')",1
13982,"('QT_QTF', 'N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VNG')",1
13983,"('V_VM_VNF', 'N_NN', 'V_VM_VNG', 'N_NN', 'PR_PRP')",1
13984,"('N_NN', 'V_VM_VNG', 'N_NN', 'PR_PRP', 'N_NN')",1
13985,"('V_VM_VNG', 'N_NN', 'PR_PRP', 'N_NN', 'V_VM_VNF')",1
13986,"('PR_PRP', 'N_NST', 'V_VM_VNF', 'N_NN', 'V_VM_VNF')",1
13987,"('N_NST', 'V_VM_VNF', 'N_NN', 'V_VM_VNF', 'N_NST')",1
13988,"('V_VM_VNF', 'N_NN', 'V_VM_VNF', 'N_NST', 'PR_PRP')",1
13989,"('N_NN', 'V_VM_VNF', 'N_NST', 'PR_PRP', 'RB')",1
13990,"('V_VM_VNF', 'N_NST', 'PR_PRP', 'RB', 'V_VM_VNF')",1
13991,"('N_NST', 'PR_PRP', 'RB', 'V_VM_VNF', 'RD_PUNC')",1
13992,"('N_NN', 'RD_SYM', 'JJ', 'N_NN', 'V_VM_VNF')",1
13993,"('RD_SYM', 'JJ', 'N_NN', 'V_VM_VNF', 'N_NN')",1
13994,"('N_NST', 'N_NN', 'V_VM_VNF', 'PR_PRP', 'QT_QTC')",1
13995,"('N_NN', 'V_VM_VNF', 'PR_PRP', 'QT_QTC', 'RB')",1
13996,"('V_VM_VNF', 'PR_PRP', 'QT_QTC', 'RB', 'V_VM_VNF')",1
13997,"('RD_PUNC', 'QT_QTC', 'N_NN', 'N_NN', 'PR_PRP')",1
13998,"('V_VM_VNF', 'N_NN', 'N_NST', 'RD_PUNC', 'N_NN')",1
13999,"('PR_PRP', 'RB', 'N_NN', 'PSP', 'V_VM_VNF')",1
14000,"('RD_PUNC', 'N_NN', 'N_NN', 'CC_CCD', 'QT_QTC')",1
14001,"('N_NN', 'N_NN', 'CC_CCD', 'QT_QTC', 'RD_PUNC')",1
14002,"('N_NN', 'CC_CCD', 'QT_QTC', 'RD_PUNC', 'V_VM_VNF')",1
14003,"('CC_CCD', 'QT_QTC', 'RD_PUNC', 'V_VM_VNF', 'N_NN')",1
14004,"('V_VM_VNF', 'RP_RPD', 'V_VM_VNF', 'N_NN', 'N_NN')",1
14005,"('PR_PRP', 'N_NN', 'N_NN', 'V_VM_VNF', 'CC_CCD')",1
14006,"('V_VM_VNF', 'CC_CCD', 'N_NN', 'N_NN', 'CC_CCD')",1
14007,"('RD_PUNC', 'PR_PRP', 'N_NN', 'V_VM_VNF', 'DM_DMD')",1
14008,"('DM_DMD', 'N_NN', 'V_VM_VNF', 'V_VM_VNF', 'V_VM_VNF')",1
14009,"('N_NN', 'N_NN', 'V_VM_VNF', 'JJ', 'QT_QTC')",1
14010,"('N_NN', 'V_VM_VNF', 'JJ', 'QT_QTC', 'RD_PUNC')",1
14011,"('RD_PUNC', 'N_NN', 'N_NN', 'JJ', 'JJ')",1
14012,"('RD_PUNC', 'JJ', 'N_NN', 'V_VM_VNF', 'V_VM_VNF')",1
14013,"('V_VM_VNF', 'V_VM_VNF', 'JJ', 'N_NN', 'PR_PRP')",1
14014,"('N_NN', 'N_NN', 'V_VM_VNG', 'PSP', 'QT_QTC')",1
14015,"('N_NN', 'V_VM_VNG', 'PSP', 'QT_QTC', 'RD_PUNC')",1
14016,"('V_VM_VNG', 'PSP', 'QT_QTC', 'RD_PUNC', 'V_VM_VNF')",1
14017,"('RD_PUNC', 'V_VM_VNF', 'N_NN', 'N_NN', 'V_VM_VNG')",1
14018,"('N_NN', 'PSP', 'N_NN', 'V_VM_VNF', 'N_NNP')",1
14019,"('N_NN', 'V_VM_VNF', 'N_NNP', 'N_NN', 'PSP')",1
14020,"('V_VM_VNF', 'N_NNP', 'N_NN', 'PSP', 'V_VM_VNF')",1
14021,"('N_NN', 'N_NN', 'N_NN', 'JJ', 'QT_QTC')",1
14022,"('N_NN', 'N_NN', 'JJ', 'QT_QTC', 'RD_PUNC')",1
14023,"('N_NNP', 'V_VM_VNF', 'RB', 'V_VM_VNF', 'N_NN')",1
14024,"('RB', 'V_VM_VNF', 'V_VM_VNF', 'N_NN', 'QT_QTC')",1
14025,"('CC_CCD', 'PR_PRP', 'QT_QTF', 'N_NN', 'V_VM_VNG')",1
14026,"('PR_PRP', 'QT_QTF', 'N_NN', 'V_VM_VNG', 'QT_QTF')",1
14027,"('QT_QTF', 'N_NN', 'V_VM_VNG', 'QT_QTF', 'V_VM_VNF')",1
14028,"('N_NN', 'V_VM_VNG', 'QT_QTF', 'V_VM_VNF', 'RD_PUNC')",1
14029,"('QT_QTC', 'N_NN', 'N_NN', 'N_NN', 'DM_DMD')",1
14030,"('N_NN', 'V_VM_VNF', 'RB', 'N_NN', 'QT_QTF')",1
14031,"('V_VM_VNF', 'RB', 'N_NN', 'QT_QTF', 'N_NN')",1
14032,"('RB', 'N_NN', 'QT_QTF', 'N_NN', 'RB')",1
14033,"('V_VM_VNF', 'V_VM_VNF', 'N_NN', 'CC_CCD', 'QT_QTC')",1
14034,"('V_VM_VNF', 'N_NN', 'CC_CCD', 'QT_QTC', 'N_NN')",1
14035,"('N_NN', 'N_NN', 'N_NN', 'CC_CCD', 'RP_RPD')",1
14036,"('N_NN', 'N_NN', 'CC_CCD', 'RP_RPD', 'PR_PRP')",1
14037,"('N_NN', 'CC_CCD', 'RP_RPD', 'PR_PRP', 'N_NN')",1
14038,"('CC_CCD', 'RP_RPD', 'PR_PRP', 'N_NN', 'RB')",1
14039,"('RP_RPD', 'PR_PRP', 'N_NN', 'RB', 'V_VM_VNG')",1
14040,"('PR_PRP', 'N_NN', 'RB', 'V_VM_VNG', 'V_VM_VNF')",1
14041,"('V_VM_VNF', 'N_NN', 'V_VM_VNG', 'N_NN', 'V_VM_VNF')",1
14042,"('N_NN', 'V_VM_VNG', 'N_NN', 'V_VM_VNF', 'V_VM_VNF')",1
14043,"('V_VM_VNG', 'N_NN', 'V_VM_VNF', 'V_VM_VNF', 'N_NN')",1
14044,"('V_VM_VNF', 'RD_PUNC', 'N_NN', 'RB', 'QT_QTF')",1
14045,"('N_NN', 'RB', 'QT_QTF', 'N_NN', 'V_VM_VNF')",1
14046,"('V_VM_VNF', 'V_VM_VNF', 'N_NN', 'CC_CCD', 'PR_PRP')",1
14047,"('V_VM_VNF', 'N_NN', 'CC_CCD', 'PR_PRP', 'DM_DMR')",1
14048,"('N_NN', 'CC_CCD', 'PR_PRP', 'DM_DMR', 'N_NN')",1
14049,"('CC_CCD', 'PR_PRP', 'DM_DMR', 'N_NN', 'N_NN')",1
14050,"('V_VM_VNG', 'N_NN', 'RD_PUNC', 'N_NN', 'RD_PUNC')",1
14051,"('QT_QTC', 'RD_PUNC', 'V_VM_VNF', 'PR_PRP', 'N_NN')",1
14052,"('RD_PUNC', 'V_VM_VNF', 'PR_PRP', 'N_NN', 'N_NN')",1
14053,"('V_VM_VNF', 'PR_PRP', 'N_NN', 'N_NN', 'CC_CCD')",1
14054,"('PR_PRP', 'N_NN', 'N_NN', 'CC_CCD', 'RD_PUNC')",1
14055,"('N_NN', 'N_NN', 'CC_CCD', 'RD_PUNC', 'V_VM_VNF')",1
14056,"('N_NN', 'CC_CCD', 'RD_PUNC', 'V_VM_VNF', 'PR_PRP')",1
14057,"('CC_CCD', 'RD_PUNC', 'V_VM_VNF', 'PR_PRP', 'PR_PRP')",1
14058,"('RD_PUNC', 'V_VM_VNF', 'PR_PRP', 'PR_PRP', 'N_NN')",1
14059,"('N_NST', 'V_VM_VNF', 'N_NN', 'N_NN', 'QT_QTC')",1
14060,"('V_VM_VNF', 'PR_PRP', 'N_NN', 'JJ', 'PR_PRP')",1
14061,"('PR_PRP', 'N_NN', 'JJ', 'PR_PRP', 'V_VM_VNF')",1
14062,"('N_NN', 'JJ', 'PR_PRP', 'V_VM_VNF', 'V_VM_VNF')",1
14063,"('JJ', 'PR_PRP', 'V_VM_VNF', 'V_VM_VNF', 'N_NN')",1
14064,"('V_VM_VNF', 'N_NN', 'N_NN', 'PR_PRP', 'JJ')",1
14065,"('V_VM_VNF', 'N_NN', 'RB', 'V_VM_VNF', 'V_VM_VNF')",1
14066,"('N_NN', 'RB', 'V_VM_VNF', 'V_VM_VNF', 'CC_CCD')",1
14067,"('RB', 'V_VM_VNF', 'V_VM_VNF', 'CC_CCD', 'N_NN')",1
14068,"('V_VM_VNF', 'V_VM_VNF', 'CC_CCD', 'N_NN', 'V_VM_VNF')",1
14069,"('PSP', 'N_NN', 'N_NN', 'V_VM_VNF', 'N_NNP')",1
14070,"('N_NN', 'N_NN', 'V_VM_VNF', 'N_NNP', 'N_NST')",1
14071,"('N_NN', 'V_VM_VNF', 'N_NNP', 'N_NST', 'PR_PRP')",1
14072,"('V_VM_VNF', 'N_NNP', 'N_NST', 'PR_PRP', 'N_NN')",1
14073,"('N_NNP', 'N_NST', 'PR_PRP', 'N_NN', 'V_VM_VNF')",1
14074,"('N_NN', 'N_NN', 'N_NST', 'N_NN', 'DM_DMR')",1
14075,"('N_NN', 'N_NST', 'N_NN', 'DM_DMR', 'N_NST')",1
14076,"('N_NST', 'N_NN', 'DM_DMR', 'N_NST', 'N_NN')",1
14077,"('V_VM_VNF', 'V_VM_VNF', 'RD_PUNC', 'PR_PRP', 'V_VM_VNF')",1
14078,"('RD_PUNC', 'RB', 'PR_PRP', 'N_NN', 'V_VM_VNF')",1
14079,"('RB', 'PR_PRP', 'N_NN', 'V_VM_VNF', 'V_VM_VNF')",1
14080,"('QT_QTC', 'N_NN', 'N_NN', 'N_NN', 'PR_PRP')",1
14081,"('N_NN', 'V_VM_VNF', 'V_VM_VNF', 'N_NN', 'N_NST')",1
14082,"('V_VM_VNF', 'V_VM_VNF', 'N_NN', 'N_NST', 'N_NN')",1
14083,"('CC_CCD', 'PR_PRP', 'PR_PRP', 'N_NN', 'N_NN')",1
14084,"('V_VM_VNF', 'DM_DMR', 'N_NN', 'V_VM_VNF', 'RP_NEG')",1
14085,"('DM_DMR', 'N_NN', 'V_VM_VNF', 'RP_NEG', 'DM_DMQ')",1
14086,"('N_NN', 'V_VM_VNF', 'RP_NEG', 'DM_DMQ', 'N_NN')",1
14087,"('V_VM_VNF', 'RP_NEG', 'DM_DMQ', 'N_NN', 'V_VM_VNF')",1
14088,"('RP_NEG', 'DM_DMQ', 'N_NN', 'V_VM_VNF', 'V_VAUX')",1
14089,"('CC_CCD', 'PR_PRP', 'N_NN', 'N_NN', 'V_VM_VNG')",1
14090,"('PR_PRP', 'N_NN', 'N_NN', 'V_VM_VNG', 'PSP')",1
14091,"('RD_PUNC', 'N_NST', 'V_VM_VNF', 'PR_PRP', 'DM_DMQ')",1
14092,"('N_NST', 'V_VM_VNF', 'PR_PRP', 'DM_DMQ', 'N_NN')",1
14093,"('V_VM_VNF', 'PR_PRP', 'DM_DMQ', 'N_NN', 'N_NN')",1
14094,"('PR_PRP', 'DM_DMQ', 'N_NN', 'N_NN', 'RD_PUNC')",1
14095,"('DM_DMQ', 'N_NN', 'N_NN', 'RD_PUNC', 'DM_DMQ')",1
14096,"('RD_PUNC', 'DM_DMQ', 'N_NN', 'N_NN', 'V_VM_VNF')",1
14097,"('PR_PRP', 'V_VM_VNF', 'N_NN', 'N_NN', 'QT_QTC')",1
14098,"('RB', 'N_NN', 'V_VM_VNF', 'V_VM_VNF', 'V_VM_VNF')",1
14099,"('RB', 'DM_DMD', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",1
14100,"('QT_QTC', 'RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VNG')",1
14101,"('RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VNG', 'CC_CCD')",1
14102,"('N_NN', 'N_NN', 'V_VM_VNG', 'CC_CCD', 'N_NN')",1
14103,"('N_NN', 'V_VM_VNG', 'CC_CCD', 'N_NN', 'N_NN')",1
14104,"('V_VM_VNG', 'CC_CCD', 'N_NN', 'N_NN', 'V_VM_VNF')",1
14105,"('CC_CCD', 'N_NN', 'N_NN', 'V_VM_VNF', 'CC_CCD')",1
14106,"('N_NN', 'N_NN', 'V_VM_VNF', 'CC_CCD', 'PR_PRP')",1
14107,"('V_VM_VNF', 'CC_CCD', 'PR_PRP', 'N_NN', 'V_VM_VNG')",1
14108,"('CC_CCD', 'PR_PRP', 'N_NN', 'V_VM_VNG', 'V_VM_VNF')",1
14109,"('PR_PRP', 'N_NN', 'V_VM_VNG', 'V_VM_VNF', 'RD_PUNC')",1
14110,"('V_VM_VNF', 'JJ', 'N_NN', 'QT_QTC', 'RD_PUNC')",1
14111,"('N_NN', 'N_NN', 'PSP', 'V_VM_VNF', 'CC_CCD')",1
14112,"('N_NN', 'PSP', 'V_VM_VNF', 'CC_CCD', 'PR_PRP')",1
14113,"('PSP', 'V_VM_VNF', 'CC_CCD', 'PR_PRP', 'N_NN')",1
14114,"('V_VM_VNF', 'CC_CCD', 'PR_PRP', 'N_NN', 'QT_QTC')",1
14115,"('CC_CCD', 'PR_PRP', 'N_NN', 'QT_QTC', 'N_NN')",1
14116,"('N_NN', 'V_VM_VNF', 'PR_PRP', 'PSP', 'JJ')",1
14117,"('V_VM_VNF', 'PR_PRP', 'PSP', 'JJ', 'N_NN')",1
14118,"('CC_CCD', 'RB', 'PR_PRP', 'N_NN', 'N_NN')",1
14119,"('RB', 'PR_PRP', 'N_NN', 'N_NN', 'V_VM_VNF')",1
14120,"('RD_PUNC', 'QT_QTC', 'N_NN', 'N_NN', 'QT_QTC')",1
14121,"('RD_SYM', 'N_NN', 'V_VM_VNF', 'RD_SYM', 'QT_QTC')",1
14122,"('N_NNP', 'V_VM_VNF', 'QT_QTC', 'RB', 'V_VM_VNF')",1
14123,"('N_NN', 'V_VM_VNG', 'PSP', 'RB', 'N_NN')",1
14124,"('V_VM_VNG', 'PSP', 'RB', 'N_NN', 'V_VM_VNF')",1
14125,"('N_NN', 'V_VM_VNF', 'QT_QTC', 'RB', 'V_VM_VNF')",1
14126,"('QT_QTC', 'RD_PUNC', 'RB', 'N_NN', 'RB')",1
14127,"('RD_PUNC', 'RB', 'N_NN', 'RB', 'V_VM_VNF')",1
14128,"('RB', 'N_NN', 'RB', 'V_VM_VNF', 'JJ')",1
14129,"('QT_QTC', 'N_NN', 'QT_QTC', 'N_NN', 'JJ')",1
14130,"('QT_QTC', 'N_NN', 'JJ', 'N_NN', 'PR_PRP')",1
14131,"('QT_QTC', 'N_NN', 'N_NN', 'N_NNP', 'V_VM_VNF')",1
14132,"('N_NN', 'N_NN', 'N_NNP', 'V_VM_VNF', 'RP_RPD')",1
14133,"('N_NN', 'N_NNP', 'V_VM_VNF', 'RP_RPD', 'V_VM_VNF')",1
14134,"('N_NNP', 'V_VM_VNF', 'RP_RPD', 'V_VM_VNF', 'RD_PUNC')",1
14135,"('V_VM_VNF', 'RP_RPD', 'V_VM_VNF', 'RD_PUNC', 'JJ')",1
14136,"('RP_RPD', 'V_VM_VNF', 'RD_PUNC', 'JJ', 'N_NN')",1
14137,"('RD_PUNC', 'JJ', 'N_NN', 'V_VM_VNF', 'RP_RPD')",1
14138,"('V_VM_VNF', 'RP_RPD', 'N_NN', 'V_VM_VNF', 'PR_PRP')",1
14139,"('V_VM_VNF', 'PR_PRP', 'N_NN', 'N_NN', 'PSP')",1
14140,"('N_NN', 'V_VM_VNF', 'N_NN', 'N_NN', 'RP_INTF')",1
14141,"('V_VM_VNF', 'N_NN', 'N_NN', 'RP_INTF', 'V_VM_VNF')",1
14142,"('N_NN', 'RD_PUNC', 'QT_QTC', 'N_NN', 'JJ')",1
14143,"('RD_PUNC', 'QT_QTC', 'N_NN', 'JJ', 'JJ')",1
14144,"('QT_QTC', 'N_NN', 'JJ', 'JJ', 'N_NN')",1
14145,"('N_NN', 'RB', 'N_NN', 'QT_QTC', 'RB')",1
14146,"('QT_QTC', 'N_NN', 'V_VM_VNF', 'QT_QTC', 'RD_PUNC')",1
14147,"('RD_PUNC', 'QT_QTC', 'N_NN', 'QT_QTC', 'PSP')",1
14148,"('N_NN', 'QT_QTC', 'PSP', 'N_NN', 'V_VM_VNG')",1
14149,"('QT_QTC', 'PSP', 'N_NN', 'V_VM_VNG', 'V_VM_VNF')",1
14150,"('PSP', 'N_NN', 'V_VM_VNG', 'V_VM_VNF', 'RD_PUNC')",1
14151,"('DM_DMQ', 'V_VM_VNF', 'V_VM_VNF', 'N_NN', 'JJ')",1
14152,"('DM_DMQ', 'RP_RPD', 'DM_DMD', 'N_NN', 'DM_DMQ')",1
14153,"('RP_RPD', 'DM_DMD', 'N_NN', 'DM_DMQ', 'V_VM_VNF')",1
14154,"('DM_DMD', 'N_NN', 'DM_DMQ', 'N_NN', 'V_VM_VNF')",1
14155,"('N_NN', 'RD_PUNC', 'V_VM_VINF', 'N_NN', 'V_VM_VINF')",1
